Pitch (MIDI);Time (s);Max Intensity;Max Intensity change;Pitch-duration (s);
72;31.39024067;0.10001171;1.218527555;0.019258022;FALSO
63;31.42074299;0.114548944;1.08937633;0.053753376;FALSO
47;31.46150064;0.112737045;1.06077075;0.046053648;FALSO
112;31.51286387;0.09860879;0.874679565;0.022816181;FALSO
47;31.53375435;0.094355114;1.123229265;0.109798431;FALSO
109;31.65290809;0.07805116;0.910540938;0.030245781;FALSO
66;31.67382789;0.077886954;0.997896194;0.0209198;FALSO
47;31.69333029;0.09383532;1.253741145;0.049604177;FALSO
66;31.74366522;0.09420652;1.161950231;0.137693405;FALSO
70;31.88124156;0.07920927;0.994729161;0.020116091;FALSO
35;31.90290594;0.08520599;1.075707316;0.021664381;FALSO
66;31.93153048;0.11468166;1.21763587;0.048372984;FALSO
59;31.97033811;0.11759833;1.025432706;0.052225113;FALSO
60;32.02328491;0.109074205;1.159225821;0.038337469;FALSO
47;32.07272577;0.106903575;0.980099499;0.030884266;FALSO
54;32.08843827;0.08832976;0.826256394;0.0157125;FALSO
42;32.11150074;0.08321186;1.033093691;0.052921772;FALSO
71;32.16017199;0.09323113;1.120406747;0.018811941;FALSO
72;32.18153119;0.07871132;0.844260156;0.021359205;FALSO
74;32.20328736;0.080248974;1.019535303;0.021756172;FALSO
87;32.22978544;0.085465536;1.096304417;0.048172235;FALSO
74;32.27138829;0.09219673;1.078759193;0.051765442;FALSO
62;32.32004404;0.07990307;0.897717714;0.016819;FALSO
55;32.34197617;0.0922981;1.084074378;0.083473444;FALSO
74;32.40351748;0.09693368;1.158832312;0.076561689;FALSO
59;32.51127982;0.08002457;0.825560033;0.031200647;FALSO
79;32.53156638;0.084286295;1.0532552;0.02028656;FALSO
40;32.54984355;0.07974192;0.946084023;0.018277168;FALSO
66;32.57837343;0.10576822;1.128648877;0.141776562;FALSO
54;32.72323155;0.13080125;1.121875286;0.048303604;FALSO
73;32.7613523;0.114044935;0.987070143;0.121180773;FALSO
104;32.88151169;0.096861064;1.054003477;0.0204072;FALSO
66;32.89877129;0.101428844;1.073713541;0.067313194;FALSO
67;32.96861553;0.102115445;1.081505895;0.08950758;FALSO
109;33.05828214;0.08329544;0.937381387;0.019949675;FALSO
55;33.08998346;0.08174701;0.981410384;0.031701326;FALSO
63;33.11122704;0.08919295;1.091085196;0.039883375;FALSO
74;33.16017056;0.086934544;1.074722171;0.030303717;FALSO
